"activity","subjectid","avgmean","avgstdeviation"
"WALKING",20,-0.0193438404935523,-0.183373669065847
"WALKING",21,-0.0836538075020911,-0.349500177592578
"WALKING",22,-0.0232913075313384,-0.26807311689122
"WALKING",23,-0.01656947121496,-0.178675924182244
"WALKING",24,-0.159926377151083,-0.505709536494514
"WALKING",25,-0.225242263606798,-0.578702555047461
"WALKING",26,-0.127983942650038,-0.466805034954854
"WALKING",27,-0.12202701716967,-0.454950979293647
"WALKING",28,-0.148603405014071,-0.453530772337374
"WALKING",29,-0.0925697989471851,-0.394165626288159
"WALKING",30,-0.137309725699829,-0.388133759487506
"WALKING_DOWNSTAIRS",1,-0.0253969508674971,-0.263719603503896
"WALKING_DOWNSTAIRS",2,-0.018623363058888,-0.199973200120761
"WALKING_DOWNSTAIRS",3,-0.0947995390492333,-0.35927889525865
"WALKING_DOWNSTAIRS",4,-0.0965727390947052,-0.430345489469064
"WALKING_DOWNSTAIRS",5,-0.0598698980984998,-0.256359233626873
"WALKING_DOWNSTAIRS",6,0.0345701745043553,-0.0757123543931742
"WALKING_DOWNSTAIRS",7,-0.0681061884515335,-0.267075771251554
"WALKING_DOWNSTAIRS",8,0.0491235899811817,-0.088038872473445
"WALKING_DOWNSTAIRS",9,-0.082623032118341,-0.264963539122641
"WALKING_DOWNSTAIRS",10,-0.0154961278651887,-0.217214895073397
"WALKING_DOWNSTAIRS",11,-0.114490723419057,-0.343943666544796
"WALKING_DOWNSTAIRS",12,-0.0529474722186634,-0.295167216690606
"WALKING_DOWNSTAIRS",13,-0.0607416382550803,-0.283386205699099
"WALKING_DOWNSTAIRS",14,0.00315871583475891,-0.0451783638523098
"WALKING_DOWNSTAIRS",15,-0.052899541456469,-0.209767527583023
"WALKING_DOWNSTAIRS",16,-0.104512936527768,-0.333898926802489
"WALKING_DOWNSTAIRS",17,-0.138191722564204,-0.349846604199914
"WALKING_DOWNSTAIRS",18,-0.20331058879896,-0.52241384561708
"WALKING_DOWNSTAIRS",19,0.132480514127335,0.102040595148446
"WALKING_DOWNSTAIRS",20,-0.041461327709291,-0.112178541969717
"WALKING_DOWNSTAIRS",21,-0.0499561794485157,-0.235810184772458
"WALKING_DOWNSTAIRS",22,-0.0398406775800267,-0.262597418835227
"WALKING_DOWNSTAIRS",23,0.0498731754314256,-0.096587253434725
"WALKING_DOWNSTAIRS",24,-0.108130676794779,-0.361825458960094
"WALKING_DOWNSTAIRS",25,-0.211093285140342,-0.489388597208359
"WALKING_DOWNSTAIRS",26,-0.0929632960919015,-0.284848807776182
"WALKING_DOWNSTAIRS",27,-0.0581690777969147,-0.297589565580647
"WALKING_DOWNSTAIRS",28,-0.0392080071835558,-0.251741788748867
"WALKING_DOWNSTAIRS",29,-0.0784919820418101,-0.295372120789495
"WALKING_DOWNSTAIRS",30,-0.129158161813259,-0.332598011603382
"WALKING_UPSTAIRS",1,-0.197266054897095,-0.428436196561521
"WALKING_UPSTAIRS",2,-0.123712659748999,-0.385997363253851
"WALKING_UPSTAIRS",3,-0.192165626103809,-0.494763604117052
"WALKING_UPSTAIRS",4,-0.190085295695473,-0.481670281281346
"WALKING_UPSTAIRS",5,-0.133036202494275,-0.359295474612702
"WALKING_UPSTAIRS",6,-0.101560548503618,-0.290928021342602
"WALKING_UPSTAIRS",7,-0.203121781490748,-0.493867277426738
"WALKING_UPSTAIRS",8,-0.0695132232752692,-0.243298670404065
"WALKING_UPSTAIRS",9,-0.204430190633732,-0.490629371223921
"WALKING_UPSTAIRS",10,-0.113004572018576,-0.33138123899396
"WALKING_UPSTAIRS",11,-0.238174571892952,-0.50198701766128
"WALKING_UPSTAIRS",12,-0.185121215121567,-0.494017099181002
"WALKING_UPSTAIRS",13,-0.189654352805925,-0.454771797975796
"WALKING_UPSTAIRS",14,-0.114809620932942,-0.154654281147419
"WALKING_UPSTAIRS",15,-0.17567587599559,-0.421318509545474
"WALKING_UPSTAIRS",16,-0.224509851349952,-0.518665903063102
"WALKING_UPSTAIRS",17,-0.178328074595542,-0.424126942064918
"WALKING_UPSTAIRS",18,-0.259929448762934,-0.570427044938871
"WALKING_UPSTAIRS",19,-0.0688297009122358,-0.309249674295568
"WALKING_UPSTAIRS",20,-0.124585934509862,-0.300987852818651
"WALKING_UPSTAIRS",21,-0.145080104313468,-0.419599595109684
"WALKING_UPSTAIRS",22,-0.0742071204737601,-0.29935642051746
"WALKING_UPSTAIRS",23,-0.13055607545879,-0.380009725559834
"WALKING_UPSTAIRS",24,-0.2009817402348,-0.501053199934977
"WALKING_UPSTAIRS",25,-0.282196294853135,-0.588295610674266
"WALKING_UPSTAIRS",26,-0.174707342786631,-0.467172712379008
"WALKING_UPSTAIRS",27,-0.200074570277026,-0.500441710464349
"WALKING_UPSTAIRS",28,-0.1571971172401,-0.451136779495425
"WALKING_UPSTAIRS",29,-0.175417431902487,-0.32789664862457
"WALKING_UPSTAIRS",30,-0.247940583015394,-0.45655535663849
